objectid,parentid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
kress_001,,Madonna and Child with Saints and Angels,Spinello Aretino,1389-1401,"The Madonna with child surrounded by Saints Helena, Anthony, John and an unidentified female saint. Two angels with instruments also appear and kneel in the foreground. The Madonna wears a semi-transparent veil, red top, and blue mantle with gold trim. Christ wears a gold colored gown and holds red flowers in the fold of his dressing at his left side.",Madonna; Christ; Saints; Tempera; Panel; Gilding; Fourteenth Century; Painting,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.256,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/Kress_001.jpg,/objects/small/kress_001_sm.jpg,/objects/thumbs/kress_001_th.jpg,,
kress_002,,The Crucifixion with St. Francis,Antoniazzo Romano,1475-1480,Christ on the cross with Saint Francis off to the left.,Christ; Saints; Gilding; Tempera; Panel; Fifteenth Century; Painting,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.318,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/Kress_003.jpg,/objects/small/kress_002_sm.jpg,/objects/thumbs/kress_002_th.jpg,,
kress_003,,Cleopatra,Giampietrino,1524-1526,"Cleopatra seated beside a table, wearing a red mantle and necklace. Her right hand is placed at the top of a basket on the table and her left hand is raised. She looks up left, away from the viewer. Two asps appear, one wrapped around her right arm and the other by her hand and the basket's lid.",Cleopatra; Oil; Panel; Sixteenth Century; Paintings; Portrait,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.347,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/Kress_002.jpg,/objects/small/kress_003_sm.jpg,/objects/thumbs/kress_003_th.jpg,,
kress_004,,Madonna and Child,Francesco del Cossa,1454-1478,"Madonna in third length, wearing a red robe and blue mantle while holding a small script with Christ on her knee. Five faces of cherubs appear above the Madonna's shoulders, two to the left and three to the right.",Madonna; Christ; Cherubs; Tempera; Panel; Gilding; Fifteenth Century; Paintings,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.387,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/kress_004.jpg,/objects/small/kress_004_sm.jpg,/objects/thumbs/kress_004_th.jpg,,
kress_005,,Madonna and Child,Andrea Sansovino,1500-1525,Marble statue of the Madonna and child.,Madonna; Christ; Sculpture; Marble; Sixteenth Century,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.5F5A,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/kress_005.jpg,/objects/small/kress_005_sm.jpg,/objects/thumbs/kress_005_th.jpg,,
kress_006,,Portrait of a Young Man in Black,Domenico Tintoretto,1579-1581,Bust portrait of a young man in a black top with a large white collar.,Portrait; Young Man; Paintings; Sixteenth Century; Oil; Canvas,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.1068,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/kress_006.jpg,/objects/small/kress_006_sm.jpg,/objects/thumbs/kress_006_th.jpg,,
kress_007,,Judgment of Paris,Paolo Veronese,circa 1548-1588,"Image of Paris, shadowed at the right, Hera and Aphrodite, all standing, with Pallas Athene perched to the far left on a small, natural form. Pallas Athene's arms are open and she holds a fruit (an apple?) in her right hand. Three angels are above Aphrodite and a light-colored dog rests, curled at the bottom right corner. The figures are in a sparsely wooded area, with a open sky and a mountain in the background.",Paintings; Oil; Canvas; Mythology; Paris; Sixteenth Century; Angel,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.1078,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/kress_007.jpg,/objects/small/kress_007_sm.jpg,/objects/thumbs/kress_007_th.jpg,,
kress_008,,Portrait of a Young Man,Andrea Previtali,1500-1510,Bust portrait of a young man wearing a cap.,Paintings; Oil; Panel; Portrait; Young Man; Sixteenth Century,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.1124,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/kress_008.jpg,/objects/small/kress_008_sm.jpg,/objects/thumbs/kress_008_th.jpg,,
kress_009,,Madonna and Child,Giovanni di Lorenzo Larciani,1514-1516,"The Madonna wears a blue mantle that covers a pinkish red top and a muted blue-green bottom. While the Madonna looks outward toward the viewer, Christ reaches and looks up toward his mother. The background shows a two-story dwelling to the left, a hill with structures at the right, and greenery and small figures throughout",Paintings; Oil; Panel; Madonna; Christ; Sixteenth Century,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.1146,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/kress_009.jpg,/objects/small/kress_009_sm.jpg,/objects/thumbs/kress_009_th.jpg,,
kress_010,,Madonna and Child with St. Stephen and St. Lawrence,Giovanni di Ser Giovanni Gui,1459-1470,"The Madonna with child seated between Saints Stephen and Lawrence. The Madonna wears a thin, white veil, red gown, and blue mantle with gold trim and is seated in a greenish colored throne. Christ stands in his mother's lap, wrapped around the torso with a thin fabric, which he holds away from his body with his right hand. St. Stephen, standing to the left of the throne, holds a quill in his right hand and the end of the fabric held out by Christ in his right hand. St. Lawrence stands to the right of the throne and folds his hands in prayer. Both saints are dressed in a similar manner: reddish, full-length robes with gold and black trim.",Paintings; Tempera; Gilding; Panel; Madonna; Christ; Saints,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.1148,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/kress_010.jpg,/objects/small/kress_010_sm.jpg,/objects/thumbs/kress_010_th.jpg,,
kress_011,,Annunciation,Giovanni del Biondo,1369-1371,"Gabriel appearing before the Virgin - Gabriel, dressed in a red mantle, kneels and extends his right arm while blessing the Virgin. His yellow wings are open. The Virgin stands with her arms crossed opposite Gabriel. She is dressed in a white fur-lined blue mantle and crimson dress. At her feet rests an open book on a red pillow. Between the two is the Dove of the Holy Spirit. Figures stand before a gold columned portico.",Paintings; Tempera; Panel; Gilding; Annunciation; Angel; Bible Story,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.1161,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/kress_011.jpg,/objects/small/kress_011_sm.jpg,/objects/thumbs/kress_011_th.jpg,,
kress_012,,Portrait of a Lady,Agnolo Bronzino,1523-1572,Portrait of a woman from the waist up a holding a weasel.,Paintings; Oil; Panel; Portrait; Sixteenth Century,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.1200,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/kress_012.jpg,/objects/small/kress_012_sm.jpg,/objects/thumbs/kress_012_th.jpg,,
kress_013,,St. Anthony of Padua,Marco Basaiti,1514-1517,"Painting of St. Anthony, in profile, standing before a landscape and holding a book.",Paintings; Tempera; Panel; Saints; Sixteenth Century,"Lewisburg, PA",,,Samek Art Museum Collection,1961.K.1274,Image;StillImage,,eng,public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,image,/objects/kress_013.jpg,/objects/small/kress_013_sm.jpg,/objects/thumbs/kress_013_th.jpg,,
